pc1,pc2,cluster,emoji,label
-0.31382233420698374,-0.1347717628139158,48,🥇,"""Mixed Bag of Emotions"""
-0.28738988999976284,-0.11674816981485756,48,🥈,"""Mixed Bag of Emotions"""
-0.30012172186949054,-0.09815250438953028,48,🥉,"""Mixed Bag of Emotions"""
-0.2186075888765837,-0.06723867772930717,2,🆎,Symbolic Expressions and Icons
-0.22526907368460175,0.004012275811887234,28,🏧,"🏞️🏗️🏡🏙️🏛️🏟️🏖️🏰🏯🏠🏩🏚️🏝️🏜️🏦🏥🏨🏪🏬🏛️🏢🏫🏭🏟️🏎️🏍️🏏🏀🏈🏉🏓🏸🏒🏑🏊🏌️‍♀️🏌️‍♂️🏋️‍♀️🏋️‍♂️🏃‍♀️🏃‍♂️🏄‍♀️🏄‍♂️🎪🏳️‍🌈🏳️‍⚧️🎉🏆🏅

**Group Name: Diverse Locations and Activities**"
-0.2207515844541675,-0.08090248776222914,5,🅰️,Character & Symbol Collection
-0.23837862754200925,-0.09246189541875142,5,🅰,Character & Symbol Collection
-0.2582218848373621,-0.24225607929615262,4,🇦🇫,Countries Starting with A or B
-0.21971026257413193,-0.24921820911007553,4,🇦🇱,Countries Starting with A or B
-0.20390781381595952,-0.2671195395466899,42,🇩🇿,Country Flags Collection
-0.23188533142033976,-0.2679565210268693,4,🇦🇸,Countries Starting with A or B
-0.2121368765227261,-0.2718841969355899,4,🇦🇩,Countries Starting with A or B
-0.21365312185259913,-0.24486962973552379,4,🇦🇴,Countries Starting with A or B
-0.23128695518966025,-0.21858498431018367,4,🇦🇮,Countries Starting with A or B
-0.22038825768485154,-0.24122602256210923,4,🇦🇶,Countries Starting with A or B
-0.2046374366568211,-0.21516804183045973,4,🇦🇬,Countries Starting with A or B
-0.1959753281559554,0.050590442936981186,14,♒,Astrological and Symbolic Collection
-0.24608574632699204,-0.24705867663378014,4,🇦🇷,Countries Starting with A or B
-0.19399078864159933,0.0031667829120016217,14,♈,Astrological and Symbolic Collection
-0.23879221364280726,-0.22638411878768266,4,🇦🇲,Countries Starting with A or B
-0.2323417369884351,-0.1917209107755114,4,🇦🇼,Countries Starting with A or B
-0.217284572359695,-0.24558269157926949,4,🇦🇨,Countries Starting with A or B
-0.22810905096305514,-0.23271031649834104,4,🇦🇺,Countries Starting with A or B
-0.236071089866613,-0.2499259471591706,4,🇦🇹,Countries Starting with A or B
-0.19534312265915457,-0.2624943346561245,4,🇦🇿,Countries Starting with A or B
-0.2734017431917025,-0.10527438441950815,10,🔙,"""Navigation and Control Icons"""
-0.23262106950354533,-0.04014977775595141,5,🅱️,Character & Symbol Collection
-0.2486430451140193,-0.04586036970176156,5,🅱,Character & Symbol Collection
-0.2254851623282845,-0.19093092678305018,42,🇧🇸,Country Flags Collection
-0.2301798188035703,-0.19541302274334638,42,🇧🇭,Country Flags Collection
-0.21920332082613372,-0.2372743317685767,42,🇧🇩,Country Flags Collection
-0.22487996741908783,-0.17449607083203356,42,🇧🇧,Country Flags Collection
-0.21828610503649756,-0.18790037004607654,42,🇧🇾,Country Flags Collection
-0.23233582183205503,-0.1862021134210303,42,🇧🇪,Country Flags Collection
-0.20266588632299207,-0.212300279950375,42,🇧🇿,Country Flags Collection
-0.21247672630681297,-0.1870238219178026,42,🇧🇯,Country Flags Collection
-0.24005419580014326,-0.21023806246967533,42,🇧🇲,Country Flags Collection
-0.2052464655941831,-0.1817442131604491,42,🇧🇹,Country Flags Collection
-0.23882402224581867,-0.1888172536373889,42,🇧🇴,Country Flags Collection
-0.2152123292938265,-0.23879754861757496,4,🇧🇦,Countries Starting with A or B
-0.20976812544496573,-0.1623589812906146,42,🇧🇼,Country Flags Collection
-0.24352225040698308,-0.20534197775357155,42,🇧🇻,Country Flags Collection
-0.229029256997432,-0.16759406129317783,42,🇧🇷,Country Flags Collection
-0.27197887311655333,-0.209094692753408,54,🇮🇴,Worldwide Flags Collection
-0.27738889300541303,-0.248617535347496,52,🇻🇬,Countries Starting with 'V' or 'C'
-0.22382325765058106,-0.20467571706523852,42,🇧🇳,Country Flags Collection
-0.23175991859636852,-0.17393490257756405,42,🇧🇬,Country Flags Collection
-0.2429493887421575,-0.20134306643704247,42,🇧🇫,Country Flags Collection
-0.23282532054927468,-0.18847064821493423,42,🇧🇮,Country Flags Collection
-0.2041069605030425,-0.06425585072765488,2,🆑,Symbolic Expressions and Icons
-0.2567719664869338,-0.05645694572109684,2,🆒,Symbolic Expressions and Icons
-0.2294931446155575,-0.19263107425212472,54,🇰🇭,Worldwide Flags Collection
-0.22441872879089952,-0.2814591187806798,52,🇨🇲,Countries Starting with 'V' or 'C'
-0.21607097363481978,-0.2758190291597898,52,🇨🇦,Countries Starting with 'V' or 'C'
-0.23428931264382988,-0.2719120961520295,54,🇮🇨,Worldwide Flags Collection
-0.19249466573640137,0.0033557255475414167,14,♋,Astrological and Symbolic Collection
-0.23813216898212033,-0.2798134833489457,52,🇨🇻,Countries Starting with 'V' or 'C'
-0.20820221727737273,0.02478685770292988,14,♑,Astrological and Symbolic Collection
-0.20353049784732793,-0.1750467198654709,42,🇧🇶,Country Flags Collection
-0.24979412831521536,-0.22305338383861398,54,🇰🇾,Worldwide Flags Collection
-0.24661814784959465,-0.2744488972175015,52,🇨🇫,Countries Starting with 'V' or 'C'
-0.22566164029532587,-0.27265115434900905,4,🇪🇦,Countries Starting with A or B
-0.239254723156589,-0.264936454842416,54,🇹🇩,Worldwide Flags Collection
-0.19727782449575026,-0.2886046983467724,52,🇨🇱,Countries Starting with 'V' or 'C'
-0.19254549081493247,-0.25481237680315993,52,🇨🇳,Countries Starting with 'V' or 'C'
-0.24109548267892822,-0.2845682433771981,52,🇨🇽,Countries Starting with 'V' or 'C'
-0.28796604849032786,-0.10695493552119988,72,🎄,Celebration and Entertainment Emojis
-0.23102444764519,-0.2476941336054796,52,🇨🇵,Countries Starting with 'V' or 'C'
-0.18250711883904136,-0.2913522118948738,52,🇨🇨,Countries Starting with 'V' or 'C'
-0.18549524634037765,-0.27139156537236264,52,🇨🇴,Countries Starting with 'V' or 'C'
-0.28086004692437344,-0.25549890611352033,54,🇰🇲,Worldwide Flags Collection
-0.18343810576258401,-0.23498975671602904,20,🇨🇬,Countries Starting with G and N
-0.1895312006389148,-0.3022119306328014,52,🇨🇩,Countries Starting with 'V' or 'C'
-0.2209220840153742,-0.2549016999421328,52,🇨🇰,Countries Starting with 'V' or 'C'
-0.21083318483123867,-0.27425050198621836,52,🇨🇷,Countries Starting with 'V' or 'C'
-0.2903789900841288,-0.1812765587681334,54,🇭🇷,Worldwide Flags Collection
-0.19899964339309525,-0.2769387132099742,52,🇨🇺,Countries Starting with 'V' or 'C'
-0.19303103721805226,-0.2528458528975001,52,🇨🇼,Countries Starting with 'V' or 'C'
-0.19161182981784977,-0.23985434418142884,52,🇨🇾,Countries Starting with 'V' or 'C'
-0.21377463624777482,-0.2705587324088364,52,🇨🇿,Countries Starting with 'V' or 'C'
-0.20990874460448186,-0.27723575190833244,52,🇨🇮,Countries Starting with 'V' or 'C'
-0.22719055558315684,-0.2526320967345839,42,🇩🇰,Country Flags Collection
-0.24091620895819854,-0.21955443918660375,20,🇩🇬,Countries Starting with G and N
-0.20005579164508994,-0.2388098842556679,42,🇩🇯,Country Flags Collection
-0.23589224149465327,-0.259261799100621,42,🇩🇲,Country Flags Collection
-0.2118142166581547,-0.2754767053292243,42,🇩🇴,Country Flags Collection
-0.3108515101087194,-0.1174633881799412,10,🔚,"""Navigation and Control Icons"""
-0.2302271862843259,-0.3243080165286531,80,🇪🇨,Flags of Various Countries
-0.2516818453917214,-0.18126851952072917,20,🇪🇬,Countries Starting with G and N
-0.26359674749814166,-0.23693857431589385,80,🇸🇻,Flags of Various Countries
-0.18095980667682457,-0.07230560995716259,28,🏴󠁧󠁢󠁥󠁮󠁧󠁿,"🏞️🏗️🏡🏙️🏛️🏟️🏖️🏰🏯🏠🏩🏚️🏝️🏜️🏦🏥🏨🏪🏬🏛️🏢🏫🏭🏟️🏎️🏍️🏏🏀🏈🏉🏓🏸🏒🏑🏊🏌️‍♀️🏌️‍♂️🏋️‍♀️🏋️‍♂️🏃‍♀️🏃‍♂️🏄‍♀️🏄‍♂️🎪🏳️‍🌈🏳️‍⚧️🎉🏆🏅

**Group Name: Diverse Locations and Activities**"
-0.19057982642128715,-0.2032999978214198,20,🇬🇶,Countries Starting with G and N
-0.27947436003954423,-0.24243912531431341,54,🇪🇷,Worldwide Flags Collection
-0.27421198030305216,-0.21231760204708142,54,🇪🇪,Worldwide Flags Collection
-0.27019465062420256,-0.24885050751206653,80,🇸🇿,Flags of Various Countries
-0.25945325129077906,-0.2657654129722065,54,🇪🇹,Worldwide Flags Collection
-0.24989275959201965,-0.21495652173179677,54,🇪🇺,Worldwide Flags Collection
-0.3126794394253987,-0.11407530961282633,2,🆓,Symbolic Expressions and Icons
-0.27387581734403527,-0.2216000104272143,42,🇫🇰,Country Flags Collection
-0.25911552292469,-0.2166115510722852,42,🇫🇴,Country Flags Collection
-0.27255428968400275,-0.222943106224937,42,🇫🇯,Country Flags Collection
-0.27827226819918743,-0.17070647176430906,42,🇫🇮,Country Flags Collection
-0.26726394114639973,-0.2020095468574754,42,🇫🇷,Country Flags Collection
-0.2373780955212909,-0.21275744954664907,20,🇬🇫,Countries Starting with G and N
-0.2634103773728293,-0.22260151751900475,54,🇵🇫,Worldwide Flags Collection
-0.26474916480405014,-0.22261724426245708,54,🇹🇫,Worldwide Flags Collection
-0.21307507116972094,-0.2460763140701261,4,🇬🇦,Countries Starting with A or B
-0.2407459203848442,-0.18840933036198176,20,🇬🇲,Countries Starting with G and N
-0.2322644491367481,0.021209373335643118,14,♊,Astrological and Symbolic Collection
-0.23366474744064905,-0.20063723815078455,20,🇬🇪,Countries Starting with G and N
-0.2158469594523939,-0.24479557615451106,42,🇩🇪,Country Flags Collection
-0.21017625660865816,-0.14501079915267856,20,🇬🇭,Countries Starting with G and N
-0.237612863654996,-0.14740423937761485,20,🇬🇮,Countries Starting with G and N
-0.23082184423960475,-0.19905834694080857,20,🇬🇷,Countries Starting with G and N
-0.21326286626135016,-0.2112670014959675,20,🇬🇱,Countries Starting with G and N
-0.21007725165427288,-0.24204196986970264,20,🇬🇩,Countries Starting with G and N
-0.22777635270401006,-0.20801915547533428,20,🇬🇵,Countries Starting with G and N
-0.24353740573682814,-0.18120145825439254,20,🇬🇺,Countries Starting with G and N
-0.22504231662910534,-0.20845552703703013,20,🇬🇹,Countries Starting with G and N
-0.21585333709772725,-0.1859394048046287,20,🇬🇬,Countries Starting with G and N
-0.21122959396414592,-0.18641385798991822,20,🇬🇳,Countries Starting with G and N
-0.23425352221262893,-0.18942377448125625,20,🇬🇼,Countries Starting with G and N
-0.21568733763079895,-0.19050790848204652,20,🇬🇾,Countries Starting with G and N
-0.2758374155566625,-0.20647505266410102,54,🇭🇹,Worldwide Flags Collection
-0.2639501228293402,-0.1894084167171838,54,🇭🇲,Worldwide Flags Collection
-0.25714990114774555,-0.15895370542052012,20,🇭🇳,Countries Starting with G and N
-0.27491426722286644,-0.17093340850837574,54,🇭🇰,Worldwide Flags Collection
-0.24269983533600412,-0.17810763203830632,54,🇭🇺,Worldwide Flags Collection
-0.3187037522424616,-0.13418375543016176,2,🆔,Symbolic Expressions and Icons
-0.25913578875814275,-0.24631486513364845,54,🇮🇸,Worldwide Flags Collection
-0.28237596605591253,-0.18134697189134627,54,🇮🇳,Worldwide Flags Collection
-0.2561442495873647,-0.27540571681406373,54,🇮🇩,Worldwide Flags Collection
-0.2604235341417184,-0.21962881279354907,54,🇮🇷,Worldwide Flags Collection
-0.25926460633577486,-0.20447641001597114,54,🇮🇶,Worldwide Flags Collection
-0.2767058933278134,-0.20528876520192965,54,🇮🇪,Worldwide Flags Collection
-0.3059686643048892,-0.19073623005525056,54,🇮🇲,Worldwide Flags Collection
-0.24412952610005698,-0.21193092230006283,54,🇮🇱,Worldwide Flags Collection
-0.2944908697616483,-0.2091549838625169,54,🇮🇹,Worldwide Flags Collection
-0.2582216899841311,-0.22655162375727633,54,🇯🇲,Worldwide Flags Collection
-0.2709079736884372,-0.19925146891721293,54,🇯🇵,Worldwide Flags Collection
-0.162759707288538,-0.06911391365723141,48,🉑,"""Mixed Bag of Emotions"""
-0.21300071102379792,-0.08395627597214753,5,🈸,Character & Symbol Collection
-0.3257156410235073,-0.06843669733157154,5,🉐,Character & Symbol Collection
